id,playerid,spin,zone,hit
1,1,RU,0,False
2,1,LU,1,True
3,2,US,1,True
4,1,US,1,True
5,2,DS,1,True
6,1,US,1,True
7,2,US,6,True
8,1,US,4,True
9,2,LS,6,True
10,1,US,4,True
11,2,RD,4,True
12,1,NS,4,True
13,2,US,6,True
14,1,US,5,True
15,2,US,0,False
16,2,RD,1,True
17,1,US,5,True
18,2,RD,3,True
19,1,US,5,True
20,2,LD,1,True
21,1,DS,4,True
22,2,US,1,True
23,1,US,3,True
24,2,US,4,True
25,1,NS,6,True
26,2,US,0,False
27,2,DS,3,True
28,1,US,4,True
29,2,US,4,True
30,1,US,4,True
31,2,US,4,True
32,1,US,1,True
33,2,US,6,True
34,1,US,6,True
35,2,US,6,True
36,1,DS,6,True
37,2,NS,6,True
38,1,US,0,False
39,1,NS,1,True
40,2,DS,0,False
41,1,RU,3,True
42,2,US,4,True
43,1,US,6,True
44,2,DS,5,True
45,1,LS,3,True
46,2,NS,3,True
47,1,US,5,True
48,2,US,0,False
49,2,LD,3,True
50,1,RU,4,True
51,2,US,0,False
52,2,LU,4,True
53,1,US,3,True
54,2,US,5,True
55,1,US,4,True
56,2,US,0,False
57,1,LD,4,True
58,2,US,6,True
59,1,US,5,True
60,2,US,4,True
61,1,US,4,True
62,2,US,6,True
63,1,US,6,True
64,2,US,0,False
65,1,LD,0,False
66,2,LU,0,False
67,2,LD,1,True
68,1,LU,1,True
69,2,US,6,True
70,1,US,6,True
71,2,US,4,True
72,1,US,2,True
73,2,US,0,False
74,1,LU,4,True
75,2,US,5,True
76,1,LD,3,True
77,2,RU,4,True
78,1,US,3,True
79,2,US,4,True
80,1,US,4,True
81,2,LU,0,False
82,1,RD,1,True
83,2,US,2,True
84,1,US,0,False
85,2,LU,1,True
86,1,US,5,True
87,2,US,0,False
88,2,LU,3,True
89,1,DS,4,True
90,2,US,4,True
91,1,US,4,True
92,2,US,0,False
93,1,LD,2,True
94,2,US,4,True
95,1,LD,4,True
96,2,LU,4,True
97,1,US,0,False
98,1,LU,3,True
99,2,RD,3,True
100,1,US,4,True
101,2,US,4,True
102,1,DS,1,True
103,2,RD,5,True
104,1,US,1,True
105,2,US,3,True
106,1,US,3,True
107,2,US,4,True
108,1,US,4,True
109,2,US,0,False
110,2,LD,0,False
111,2,US,0,False
112,1,DS,3,True
113,2,US,4,True
114,1,DS,1,True
115,2,RS,6,True
116,1,US,6,True
117,2,DS,4,True
118,1,US,6,True
119,2,RS,0,False
120,1,LU,3,True
121,2,LU,3,True
122,1,NS,4,True
123,2,LD,3,True
124,1,US,1,True
125,2,US,4,True
126,1,US,2,True
127,2,NS,3,True
128,1,LU,6,True
129,2,US,3,True
130,1,US,6,True
131,2,DS,3,True
132,1,US,4,True
133,2,RU,4,True
134,1,US,6,True
135,2,US,4,True
136,1,RU,6,True
137,2,NS,2,True
138,1,US,6,True
139,2,RU,4,True
140,1,US,4,True
141,2,US,1,True
142,1,US,0,False
143,2,US,5,True
144,1,RD,5,True
145,2,US,0,False
146,2,RD,2,True
147,1,LS,0,False
148,1,LD,1,True
149,2,DS,4,True
150,1,US,0,False
151,1,RD,3,True
152,2,US,5,True
153,1,DS,0,False
154,2,LU,3,True
155,1,US,5,True
156,2,LD,4,True
157,1,LU,5,True
158,2,US,0,False
159,2,LU,0,False
160,1,DS,3,True
161,2,RS,4,True
162,1,US,6,True
163,2,US,5,True
164,1,US,0,False
165,1,LD,1,True
166,2,US,0,False
167,2,RU,2,True
168,1,US,3,True
169,2,LD,0,False
170,2,DS,0,False
171,1,LD,2,True
172,2,US,4,True
173,1,LU,0,False
174,1,LU,3,True
175,2,US,0,False
176,2,LD,3,True
177,1,DS,4,True
178,2,US,3,True
179,1,LU,3,True
180,2,US,5,True
181,1,US,5,True
182,2,US,5,True
183,1,RS,4,True
184,2,US,5,True
185,1,US,0,False
186,2,LU,3,True
187,1,US,4,True
188,2,LD,4,True
189,1,US,0,False
190,1,LD,6,True
191,2,US,5,True
192,1,US,0,False
193,1,LD,0,False
194,2,LU,3,True
195,1,RU,1,True
196,2,US,4,True
197,1,LS,6,True
198,2,NS,6,True
199,1,US,4,True
200,2,DS,6,True
201,1,US,4,True
202,2,US,4,True
203,1,LU,4,True
204,2,US,0,False
205,2,RU,4,True
206,1,US,4,True
207,2,LU,4,True
208,1,US,4,True
209,2,US,6,True
210,1,US,4,True
211,2,US,0,False
212,1,RU,0,False
213,1,LD,3,True
214,2,US,6,True
215,1,US,5,True
216,2,US,4,True
217,1,RD,5,True
218,2,US,6,True
219,1,US,5,True
220,2,DS,1,True
221,1,US,6,True
222,2,US,4,True
223,1,US,6,True
224,2,US,6,True
225,1,US,4,True
226,2,US,2,True
227,1,DS,0,False
228,2,RU,1,True
229,1,US,4,True
230,2,DS,0,False
231,2,LD,0,False
232,1,LD,3,True
233,2,US,0,False
234,1,RD,1,True
235,2,US,3,True
236,1,US,0,False
237,2,LD,1,True
238,1,US,6,True
239,2,RU,0,False
240,2,RD,3,True
241,1,US,4,True
242,2,US,6,True
243,1,US,0,False
244,1,RD,1,True
245,2,US,0,False
246,1,NS,4,True
247,2,US,5,True
248,1,DS,0,False
249,2,LD,0,False
250,2,LU,0,False
251,1,RD,2,True
