id,playerid,spin,zone,hit,score
1,1,RU,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
2,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
3,1,DS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
4,1,RD,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
5,2,RU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
6,1,LD,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
7,2,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
8,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
9,2,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
10,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
11,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
12,2,LU,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
13,2,RU,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
14,1,RD,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
15,1,LD,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
16,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
17,1,NS,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
18,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
19,2,LS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
20,2,LU,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
21,1,US,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
22,2,RU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
23,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
24,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
25,1,DS,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
26,2,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
27,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
28,2,DS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
29,1,LD,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
30,1,LD,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
31,2,RD,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
32,2,LU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
33,1,DS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
34,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
35,1,LD,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
36,2,LD,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
37,1,DS,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
