id,playerid,spin,zone,hit
1,1,RU,0,False
2,1,LD,0,False
3,2,LS,0,False
4,2,RU,1,True
5,1,DS,6,True
6,2,DS,5,True
7,1,DS,5,True
8,2,US,0,False
9,1,LD,3,True
10,2,US,1,True
11,1,LD,4,True
12,2,US,0,False
13,1,RD,0,False
14,2,DS,3,True
15,1,US,4,True
16,2,DS,6,True
17,1,US,4,True
18,2,DS,4,True
19,1,DS,0,False
20,2,RU,4,True
21,1,RD,4,True
22,2,US,4,True
23,1,NS,4,True
24,2,US,4,True
25,1,US,4,True
26,2,LS,3,True
27,1,US,6,True
28,2,RD,3,True
29,1,US,6,True
30,2,US,0,False
31,1,LU,0,False
32,1,LD,3,True
33,2,RD,4,True
34,1,US,4,True
35,2,US,0,False
36,2,RD,5,True
37,1,NS,1,True
38,2,US,6,True
39,1,LS,0,False
40,2,RD,5,True
41,1,RS,6,True
42,2,DS,6,True
43,1,US,2,True
44,2,RD,3,True
45,1,US,0,False
46,1,LU,1,True
47,2,LU,6,True
48,1,US,3,True
49,2,US,6,True
50,1,US,0,False
51,1,RD,2,True
52,2,DS,1,True
53,1,US,0,False
54,2,LU,3,True
55,1,US,3,True
56,2,DS,0,False
57,2,NS,0,False
58,1,LU,6,True
59,2,US,5,True
60,1,NS,6,True
61,2,US,4,True
62,1,DS,0,False
63,1,LD,3,True
64,2,US,5,True
65,1,RD,4,True
66,2,US,2,True
67,1,US,6,True
68,2,US,4,True
69,1,US,4,True
70,2,DS,4,True
71,1,US,4,True
72,2,US,4,True
73,1,RD,2,True
74,2,RU,5,True
75,1,US,5,True
76,2,US,0,False
77,2,RD,1,True
78,1,US,4,True
79,2,LD,4,True
80,1,US,0,False
81,2,LU,4,True
82,1,US,6,True
83,2,US,1,True
84,1,DS,0,False
85,1,RU,0,False
86,1,RU,0,False
87,2,RU,3,True
88,1,US,6,True
89,2,US,4,True
90,1,DS,6,True
91,2,US,2,True
92,1,US,3,True
93,2,US,2,True
94,1,US,0,False
95,2,LU,2,True
96,1,RD,4,True
97,2,US,6,True
98,1,US,4,True
99,2,US,0,False
100,1,RD,3,True
101,2,US,4,True
102,1,US,4,True
103,2,US,4,True
104,1,LD,5,True
105,2,US,6,True
106,1,LU,5,True
107,2,LU,5,True
108,1,DS,0,False
109,1,LD,3,True
110,2,US,4,True
111,1,US,6,True
112,2,LU,1,True
113,1,US,5,True
114,2,RD,0,False
115,2,LU,1,True
116,1,US,2,True
117,2,US,5,True
118,1,RU,5,True
119,2,US,0,False
120,2,LD,5,True
121,1,US,0,False
122,1,RU,0,False
123,1,RD,3,True
124,2,DS,6,True
125,1,US,5,True
126,2,US,4,True
127,1,US,0,False
128,2,RD,5,True
129,1,US,6,True
130,2,US,0,False
131,2,LS,4,True
132,1,US,0,False
133,1,RU,3,True
134,2,US,1,True
135,1,US,4,True
136,2,US,5,True
137,1,US,0,False
138,1,LU,0,False
139,2,LD,2,True
140,1,US,0,False
141,2,RU,3,True
142,1,LU,5,True
143,2,US,3,True
144,1,US,4,True
145,2,US,6,True
146,1,US,6,True
147,2,US,1,True
148,1,US,5,True
149,2,US,4,True
150,1,DS,0,False
151,1,LD,4,True
152,2,US,6,True
153,1,US,0,False
154,1,LU,6,True
155,2,US,5,True
156,1,RD,2,True
157,2,RD,0,False
158,2,LD,0,False
159,2,LS,0,False
160,1,LD,3,True
161,2,US,0,False
162,1,RU,1,True
163,2,US,0,False
164,2,LU,3,True
165,1,US,4,True
166,2,US,6,True
167,1,US,0,False
168,2,DS,4,True
169,1,US,0,False
170,1,NS,3,True
171,2,US,6,True
172,1,RU,4,True
173,2,US,4,True
174,1,DS,1,True
175,2,US,5,True
176,1,RD,3,True
177,2,US,6,True
178,1,US,4,True
179,2,US,2,True
180,1,US,5,True
181,2,DS,0,False
182,1,LU,2,True
183,2,US,0,False
184,2,LD,1,True
185,1,US,5,True
186,2,US,0,False
187,2,LU,4,True
188,1,US,6,True
189,2,US,4,True
190,1,US,4,True
191,2,US,4,True
192,1,US,0,False
193,1,LU,3,True
194,2,US,4,True
195,1,DS,0,False
196,1,LU,0,False
197,2,LD,3,True
198,1,US,4,True
199,2,DS,6,True
200,1,US,6,True
201,2,RU,5,True
202,1,DS,2,True
203,2,US,4,True
204,1,US,0,False
205,2,NS,3,True
206,1,US,1,True
207,2,NS,4,True
208,1,US,1,True
209,2,DS,5,True
210,1,US,6,True
211,2,NS,6,True
212,1,US,6,True
213,2,DS,5,True
214,1,US,1,True
215,2,US,6,True
216,1,RD,0,False
217,1,LU,3,True
218,2,US,5,True
219,1,US,2,True
220,2,US,3,True
221,1,US,2,True
222,2,LU,6,True
223,1,DS,0,False
